instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/01-treeWeight-365-10leaves.asp.ground,0.0002,0.9563,0.0002,0.0016,0.9514,0.004,1.0,510324.0,508302.0,2022.0,2040100.0,3.9977,505268.0,5805.0,0.0,0.0,505716.0,505656.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1376.0,142.0,20.0,1214.0,0.1032,0.0145,0.8823,1529877.0,481213.0,29010.0,0.7499,0.2359,0.0142
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/02-treeWeight-803-10leaves.asp.ground,0.0001,0.9683,0.0001,0.0012,0.9647,0.0029,1.0,693596.0,691574.0,2022.0,2770180.0,3.9939,687678.0,6765.0,0.0,0.0,688141.0,688081.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1581.0,133.0,20.0,1428.0,0.0841,0.0127,0.9032,2076685.0,663995.0,29500.0,0.7497,0.2397,0.0106
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/05-treeWeight-822-10leaves.asp.ground,0.0001,0.9792,0.0001,0.001,0.9769,0.0015,1.0,1312966.0,1310944.0,2022.0,5247097.0,3.9964,1305329.0,8735.0,0.0,0.0,1306050.0,1305990.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2064.0,152.0,20.0,1892.0,0.0736,0.0097,0.9167,3934232.0,1276043.0,36822.0,0.7498,0.2432,0.007
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/06-treeWeight-698-10leaves.asp.ground,0.0001,0.9689,0.0001,0.001,0.9661,0.0021,1.0,991965.0,989943.0,2022.0,3967911.0,4.0001,984626.0,8278.0,0.0,0.0,985192.0,985132.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1750.0,148.0,20.0,1582.0,0.0846,0.0114,0.904,2976047.0,952109.0,39755.0,0.75,0.24,0.01
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/11-treeWeight-699-10leaves.asp.ground,0.0001,0.9711,0.0001,0.0011,0.9682,0.0021,1.0,971046.0,969024.0,2022.0,3882506.0,3.9983,964077.0,8004.0,0.0,0.0,964654.0,964594.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1933.0,157.0,20.0,1756.0,0.0812,0.0103,0.9084,2911561.0,934155.0,36790.0,0.7499,0.2406,0.0095
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/12-treeWeight-674-10leaves.asp.ground,0.0001,0.9748,0.0001,0.0011,0.972,0.002,1.0,1007728.0,1005706.0,2022.0,4027221.0,3.9963,1000966.0,7724.0,0.0,0.0,1001564.0,1001504.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1801.0,143.0,20.0,1638.0,0.0794,0.0111,0.9095,3019594.0,973694.0,33933.0,0.7498,0.2418,0.0084
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/14-treeWeight-885-10leaves.asp.ground,0.0001,0.9775,0.0001,0.0011,0.9747,0.002,1.0,1020361.0,1018339.0,2022.0,4075419.0,3.9941,1013643.0,7707.0,0.0,0.0,1014258.0,1014198.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1860.0,138.0,20.0,1702.0,0.0742,0.0108,0.9151,3055159.0,988765.0,31495.0,0.7497,0.2426,0.0077
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/21-treeWeight-638-10leaves.asp.ground,0.0001,0.9714,0.0001,0.0012,0.9684,0.0023,1.0,892599.0,890577.0,2022.0,3567530.0,3.9968,886039.0,7459.0,0.0,0.0,886603.0,886543.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1675.0,143.0,20.0,1512.0,0.0854,0.0119,0.9027,2675032.0,858767.0,33731.0,0.7498,0.2407,0.0095
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/23-treeWeight-592-10leaves.asp.ground,0.0001,0.9756,0.0001,0.0011,0.9729,0.0019,1.0,1083702.0,1081680.0,2022.0,4331482.0,3.9969,1076780.0,7906.0,0.0,0.0,1077447.0,1077387.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1846.0,142.0,20.0,1684.0,0.0769,0.0108,0.9122,3247881.0,1048393.0,35208.0,0.7498,0.242,0.0081
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/25-treeWeight-709-10leaves.asp.ground,0.0001,0.9728,0.0001,0.0011,0.9699,0.0021,1.0,975435.0,973413.0,2022.0,3898933.0,3.9971,968605.0,7801.0,0.0,0.0,969203.0,969143.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1806.0,156.0,20.0,1630.0,0.0864,0.0111,0.9025,2923599.0,940211.0,35123.0,0.7498,0.2411,0.009
